"Transaction Date/Time","Transaction Type","Operator","Location / Route","Description","Amount"
"02/04/2015  8:13:55 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"02/03/2015  11:06:58 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"02/03/2015  5:25:10 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"02/03/2015  8:06:14 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"02/02/2015  8:10:06 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/30/2015  11:28:47 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/30/2015  7:16:44 PM","Use","CTA Bus","36 Broadway","CTA/Pace 30-Day Pass","$0.00"
"01/30/2015  8:02:03 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/29/2015  8:12:03 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/28/2015  11:38:03 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/28/2015  5:23:09 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/28/2015  8:25:17 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/27/2015  6:32:58 PM","Use","CTA Rail","Loop-VanBuren/State","CTA/Pace 30-Day Pass","$0.00"
"01/27/2015  8:14:11 AM","Use","CTA Rail","Red-Lawrence","CTA/Pace 30-Day Pass","$0.00"
"01/26/2015  10:50:43 PM","Use","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"01/26/2015  8:06:30 PM","Sale","CTA","CTA Back Office","CTA/Pace 30-Day Pass","$100.00"
"01/26/2015  6:35:02 PM","Transfer","CTA Bus","65 Grand","CTA/Pace 30-Day Pass","$0.00"
"01/26/2015  6:18:29 PM","Sale","CTA","CTA Back Office","CTA/Pace 30-Day Pass","$100.00"
"01/26/2015  5:19:45 PM","Use","CTA Bus","156 LaSalle","CTA/Pace 30-Day Pass","$0.00"
"01/26/2015  8:07:34 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
